"method","cluster","pearson_lfc","pearson_padj","spearman_rho","n_genes","n_sig_seurat","n_sig_sd"
"Wilcoxon",0,0.84940637456105,0.99931327768097,0.920788638344525,1030,875,1030
"Wilcoxon",1,0.853625852714462,0.935556622573759,0.894734850495768,1302,979,1290
"Wilcoxon",2,0.88186707712625,0.998543950404957,0.921669704557492,883,542,882
"Wilcoxon",3,0.886767594231459,0.99934240734966,0.919329755051422,894,566,893
"Wilcoxon",4,0.638748675505153,0.129534532039633,0.584476943990201,678,477,483
"Wilcoxon",5,0.25581474669007,-0.0177954546259886,0.196765852727888,668,177,154
"t-test",0,0.849809921019615,0.99938121804286,0.92095760293864,1030,869,1029
"t-test",1,0.853470754026173,0.953836274374796,0.893998673045793,1322,1007,1319
"t-test",2,0.881998424699351,0.994574039585356,0.923137522124393,887,514,885
"t-test",3,0.886036754335736,0.995818011790205,0.916550548475701,889,634,889
"t-test",4,0.656516382714017,0.18495826319645,0.628656256678681,648,413,401
"t-test",5,0.139462046864179,0.110783761633887,0.149356156223746,426,143,277
"Logreg",0,0.849810066291345,0.999301110507756,0.921070872101303,1029,872,1029
"Logreg",1,0.853335324349727,0.934219941802402,0.894183485714639,1319,1005,1315
"Logreg",2,0.882035912052462,0.998466690330086,0.919033193043379,908,560,906
"Logreg",3,0.887198233311761,0.999360154019415,0.921274512220374,906,614,906
"Logreg",4,0.658038163496265,0.237979881166643,0.617532078227284,638,386,376
"Logreg",5,0.191453118482973,0.0111944024726189,0.159713278574186,346,72,117
